Player,Pos,Receiving_Rec,Receiving_Yds,Opportunity,Team,Year,Next_Year,Team_Next_Year
David Boston,wr,32,512,5,crd,2002,2003,crd-2003
Anquan Boldin*,WR,101,1377,2,crd,2003,2004,crd-2004
Larry Fitzgerald,WR,58,780,4,crd,2004,2005,crd-2005
Larry Fitzgerald*,WR,103,1409,2,crd,2005,2006,crd-2006
Anquan Boldin*,WR,83,1203,3,crd,2006,2007,crd-2007
Larry Fitzgerald*,WR,100,1409,2,crd,2007,2008,crd-2008
Larry Fitzgerald*+,WR,96,1431,2,crd,2008,2009,crd-2009
Larry Fitzgerald*,WR,97,1092,3,crd,2009,2010,crd-2010
Larry Fitzgerald*,WR,90,1137,3,crd,2010,2011,crd-2011
Larry Fitzgerald*,WR,80,1411,2,crd,2011,2012,crd-2012
Larry Fitzgerald*,WR,71,798,4,crd,2012,2013,crd-2013
Michael Floyd,WR,65,1041,3,crd,2013,2014,crd-2014
Michael Floyd,WR,47,841,4,crd,2014,2015,crd-2015
Larry Fitzgerald*,WR,109,1215,3,crd,2015,2016,crd-2016
Larry Fitzgerald*,WR,107,1023,3,crd,2016,2017,crd-2017
Larry Fitzgerald*,WR,109,1156,3,crd,2017,2018,crd-2018
Larry Fitzgerald,WR,69,734,4,crd,2018,2019,crd-2019
Larry Fitzgerald,WR,75,804,4,crd,2019,2020,crd-2020
DeAndre Hopkins*,WR,115,1407,2,crd,2020,2021,crd-2021
Christian Kirk,wr,47,603,5,crd,2021,2022,crd-2022
Brian Finneran,WR,56,838,4,atl,2002,2003,atl-2003
Peerless Price,WR,64,838,4,atl,2003,2004,atl-2004
Alge Crumpler*,TE,48,774,4,atl,2004,2005,atl-2005
Alge Crumpler*,TE,65,877,4,atl,2005,2006,atl-2006
Alge Crumpler*,TE,56,780,4,atl,2006,2007,atl-2007
Roddy White,WR,83,1202,3,atl,2007,2008,atl-2008
Roddy White*,WR,88,1382,2,atl,2008,2009,atl-2009
Roddy White*,WR,85,1153,3,atl,2009,2010,atl-2010
Roddy White*+,WR,115,1389,2,atl,2010,2011,atl-2011
Roddy White*,WR,100,1296,2,atl,2011,2012,atl-2012
Roddy White,WR,92,1351,2,atl,2012,2013,atl-2013
Harry Douglas,WR,85,1067,3,atl,2013,2014,atl-2014
Julio Jones*,WR,104,1593,1,atl,2014,2015,atl-2015
Julio Jones*+,WR,136,1871,1,atl,2015,2016,atl-2016
Julio Jones*+,WR,83,1409,2,atl,2016,2017,atl-2017
Julio Jones*,WR,88,1444,2,atl,2017,2018,atl-2018
Julio Jones*,WR,113,1677,1,atl,2018,2019,atl-2019
Julio Jones*,WR,99,1394,2,atl,2019,2020,atl-2020
Calvin Ridley,WR,90,1374,2,atl,2020,2021,atl-2021
Kyle Pitts,te,40,606,5,atl,2021,2022,atl-2022
Travis Taylor,WR,61,869,4,rav,2002,2003,rav-2003
Todd Heap*,TE,57,693,4,rav,2003,2004,rav-2004
Travis Taylor,WR,34,421,5,rav,2004,2005,rav-2005
Derrick Mason,WR,86,1073,3,rav,2005,2006,rav-2006
Mark Clayton,WR,67,939,3,rav,2006,2007,rav-2007
Derrick Mason,WR,103,1087,3,rav,2007,2008,rav-2008
